Field Path,Field Name,Data Type,Required,Description,Example Value,Used In APIs,Notes
context.version,Version,String,Yes,Beckn protocol version,2.0.0,"cancel, catalog_publish, confirm, discover, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Always 2.0.0 for v2 APIs
context.action,Action,String,Yes,The API action being performed,"discover, on_discover, select, on_select, init, on_init, confirm, on_confirm, update, on_update, track, on_track, on_status, rating, on_rating, support, on_support, cancel, on_cancel","cancel, catalog_publish, confirm, discover, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Defines which API endpoint is being called
context.domain,Domain,String,Yes,Domain/use case identifier,beckn.one:deg:ev-charging,"cancel, catalog_publish, confirm, discover, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Identifies EV charging domain
context.timestamp,Timestamp,DateTime,Yes,Request/response timestamp,2024-01-15T10:30:00Z,"cancel, catalog_publish, confirm, discover, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",ISO 8601 format with timezone
context.transaction_id,Transaction ID,UUID,Yes,Unique identifier for the transaction,2b4d69aa-22e4-4c78-9f56-5a7b9e2b2002,"cancel, catalog_publish, confirm, discover, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Remains same across request-response pairs
context.message_id,Message ID,UUID,Yes,Unique identifier for each message,a1eabf26-29f5-4a01-9d4e-4c5c9d1a3d02,"cancel, catalog_publish, confirm, discover, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Unique for each request/response
context.bap_id,BAP ID,String,Yes,Buyer Application Platform identifier,bap.example.com,"cancel, confirm, discover, init, on_cancel, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Domain name of BAP
context.bap_uri,BAP URI,URL,Yes,BAP callback endpoint,https://bap.example.com/bap,"cancel, confirm, discover, init, on_cancel, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Full URL for BAP callbacks
context.bpp_id,BPP ID,String,Yes,Beckn Provider Platform identifier,bpp.example.com,"cancel, catalog_publish, confirm, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Present in both requests (select onward) and all BPP responses
context.bpp_uri,BPP URI,URL,Yes,BPP endpoint,https://bpp.example.com,"cancel, catalog_publish, confirm, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Full URL for BPP
context.ttl,Time To Live,Duration,Yes,Maximum time to wait for response,PT30S,"cancel, catalog_publish, confirm, discover, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",ISO 8601 duration format
context.schema_context,Schema Context,Array[URL],Yes,JSON-LD context references for item schema,https://raw.githubusercontent.com/.../EvChargingService/v1/context.jsonld,discover,Only present in discover to declare item schema namespace
error,Error,Object,Yes,Error object (empty on success or populated on error),{},"cancel, catalog_publish, confirm, discover, init, on_cancel, on_catalog_publish, on_confirm, on_discover, on_init, on_rating, on_select, on_status, on_support, on_track, on_update, rating, select, status, support, track, update",Always present; empty object on success
error.code,Error Code,String,No,Error code,40000,on_select,Populated when BPP rejects request
error.message,Error Message,String,No,Human-readable error summary,Generic business error,on_select,Top-level error description
error.details.description,Error Detail Description,String,No,Detailed error description,Requested slot overlaps with an existing booking,on_select,More specific error context
message.filters,Filters,Object,No,JSONPath filter conditions for discovery,{type: jsonpath expression: ...},discover,Used to narrow down catalog items
message.filters.type,Filter Type,String,Yes,Type of filter expression,jsonpath,discover,Always jsonpath for current schemas
message.filters.expression,Filter Expression,String,Yes,JSONPath filtering logic,$[?(@.beckn:itemAttributes.qrIdentifier == 'https://charge.ecopower.in/cs01-ccs2')],discover,"JSONPath expression applied to catalog items; used for QR lookup, connector type, vehicle spec, availability window filters"
message.spatial,Spatial Filters,Array[Object],No,Geographic search filters using CQL2,[{op: s_dwithin...}],discover,CQL2 spatial operators for location-based search
message.spatial[].op,Spatial Operator,String,Yes,Spatial operation type,"s_dwithin, s_contains, s_intersects",discover,CQL2 spatial operator
message.spatial[].targets,Targets JSONPath,String,Yes,JSONPath to the geo field in catalog items,$['beckn:itemAttributes.chargingStation.serviceLocation.geo'],discover,Which geo field to apply spatial filter to; alternatives: $['beckn:availableAt'][*]['geo']
message.spatial[].geometry,Geometry,Object,Yes,GeoJSON geometry for spatial filter,{type: Point coordinates: [77.59 12.94]},discover,GeoJSON geometry object
message.spatial[].geometry.type,Geometry Type,String,Yes,GeoJSON geometry type,"Point, Polygon, LineString",discover,Type of geographic shape
message.spatial[].geometry.coordinates,Coordinates,Array[Number],Yes,Geographic coordinates,"[77.59, 12.94]",discover,"[longitude, latitude] order"
message.spatial[].distanceMeters,Distance in Meters,Number,No,Radius for s_dwithin queries,10000,discover,Only for s_dwithin operator
message.catalogs,Catalogs,Array[Object],Yes,Array of catalog objects from BPP,[{@type: beckn:Catalog...}],"catalog_publish, on_discover",Contains available items/services from one or more BPPs
message.catalogs[].\@context,Context,URL,Yes,JSON-LD context for catalog,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"catalog_publish, on_discover",Schema definition reference for core Beckn types
message.catalogs[].\@type,Type,String,Yes,JSON-LD type,beckn:Catalog,"catalog_publish, on_discover",Always beckn:Catalog
message.catalogs[].beckn:id,Catalog ID,String,Yes,Unique catalog identifier,catalog-ev-charging-001,"catalog_publish, on_discover",Unique across all catalogs from this BPP
message.catalogs[].beckn:descriptor,Descriptor,Object,Yes,Catalog description,{schema:name: EV Charging Services Network},"catalog_publish, on_discover",Human-readable catalog information
message.catalogs[].beckn:descriptor.\@type,Descriptor Type,String,Yes,Type of descriptor,beckn:Descriptor,"catalog_publish, on_discover",Always beckn:Descriptor
message.catalogs[].beckn:descriptor.schema:name,Name,String,Yes,Display name of catalog,EV Charging Services Network,"catalog_publish, on_discover",Catalog name shown to users
message.catalogs[].beckn:descriptor.beckn:shortDesc,Short Description,String,No,Brief catalog description,Comprehensive network of fast charging stations across Bengaluru,"catalog_publish, on_discover",One-line description
message.catalogs[].beckn:bppId,BPP ID in Catalog,String,Yes,BPP ID embedded in catalog,bpp.ev-network.example.com,"catalog_publish, on_discover",Identifies which BPP published this catalog
message.catalogs[].beckn:bppUri,BPP URI in Catalog,URL,Yes,BPP base URI embedded in catalog,https://bpp.ev-network.example.com/bpp,"catalog_publish, on_discover",BPP endpoint for subsequent calls
message.catalogs[].beckn:items,Items,Array[Object],Yes,Array of available charging connector items,[{@type: beckn:Item...}],"catalog_publish, on_discover",Charging connectors/services offered
message.catalogs[].beckn:items[].\@context,Item Context,URL,Yes,JSON-LD context for item,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"catalog_publish, on_discover",Schema definition reference
message.catalogs[].beckn:items[].\@type,Item Type,String,Yes,JSON-LD type,beckn:Item,"catalog_publish, on_discover",Always beckn:Item
message.catalogs[].beckn:items[].beckn:id,Item ID,String,Yes,Unique item identifier,IND*ecopower-charging*cs-01*IN*ECO*BTM*01*CCS2*A*CCS2-A,"catalog_publish, on_discover",Composite key: CountryCode*ProviderId*StationId*EVSE*ConnectorId
message.catalogs[].beckn:items[].beckn:descriptor,Item Descriptor,Object,Yes,Item description,{schema:name: DC Fast Charger - CCS2 (60kW)},"catalog_publish, on_discover",Human-readable item information
message.catalogs[].beckn:items[].beckn:descriptor.\@type,Descriptor Type,String,Yes,Type of descriptor,beckn:Descriptor,"catalog_publish, on_discover",Always beckn:Descriptor
message.catalogs[].beckn:items[].beckn:descriptor.schema:name,Name,String,Yes,Display name of item,DC Fast Charger - CCS2 (60kW),"catalog_publish, on_discover",Item name shown to users
message.catalogs[].beckn:items[].beckn:descriptor.beckn:shortDesc,Short Description,String,No,Brief item description,High-speed DC charging station with CCS2 connector,"catalog_publish, on_discover",One-line summary
message.catalogs[].beckn:items[].beckn:descriptor.beckn:longDesc,Long Description,String,No,Detailed item description,Ultra-fast DC charging station supporting CCS2...,"catalog_publish, on_discover",Full description with features
message.catalogs[].beckn:items[].beckn:category,Category,Object,Yes,Item category classification,{schema:codeValue: ev-charging},"catalog_publish, on_discover",Categorization for filtering
